Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
39	202.52968	260.6078	715.22394	4.143191e-06	714.2857	5.293639	2.8572917	22.513142	1.5207753	400000	-1.4901161e-07	75.312515	-0.03813231	-0.8019018	0.028828911	0.08753701	0.1779	8.0	442.2481997013092
40	156.28453	270.03204	865.0511	8.5847676e-13	472.6111	5.170252	2.8785315	20.105923	1.167369	410000	4.4703484e-08	86.70649	-0.014469087	-2.2457495	0.04617107	0.0821275	0.119100004	1.0	452.89343190193176
41	139.96463	202.93651	837.05164	1.1933858e-07	385.27274	4.9747047	3.4198854	26.346895	1.4041812	420000	1.4901161e-08	91.616425	-0.004266709	-1.2776194	0.0393418	0.08112112	0.1184	2.0	463.3361670970917
42	157.85712	286.87643	1054.7653	5.5659775e-06	456.38095	4.9558764	2.9167745	26.9938	1.4910464	430000	3.7252903e-08	70.640114	-0.016296037	-0.6629915	0.02511191	1.0327259	0.0965	11.0	474.24809980392456
43	135.75436	215.04863	809.857	4.853804e-06	370.37036	4.9591093	3.105994	33.281803	1.6699059	440000	1.4901161e-08	80.4691	-0.022796258	-0.6967931	0.019925356	1.1440315	0.09640001	5.0	485.00027561187744
44	162.15887	247.93544	897.9217	7.632194e-06	567.61536	5.693772	3.1641786	28.274551	1.3528578	450000	2.9802322e-08	64.100845	-0.0052649975	-2.4254837	0.029591024	0.19070472	0.1338	1.0	495.6056742668152
45	117.21335	204.09798	729.76855	2.4251108e-06	440.0	4.7616735	1.6683853	22.581347	2.0048313	460000	-2.9802322e-08	32.765347	0.010139614	2.7738357	0.018394163	0.09087803	0.2455	3.0	506.0621933937073
46	178.03328	235.26578	622.3914	9.32218e-06	566.0833	5.779424	2.7770054	17.683289	1.1212631	470000	-5.2154064e-08	84.86173	0.008991711	-5.75329	0.030211333	2.6569939	0.0629	5.0	516.7897326946259
47	104.15604	153.80684	512.1181	3.0777228e-10	400.0	5.0623693	3.00681	23.95659	1.3497547	480000	0.0	46.21315	-0.009921104	-2.0791435	0.026808966	2.4538145	0.1811	1.0	527.4622890949249
48	256.39505	428.2882	1526.8048	6.492465e-07	608.6429	5.6785026	2.818988	17.986097	1.1416924	490000	-2.9802322e-08	64.44714	-0.05191247	-4.4534307	0.017512675	0.1077723	0.34320003	10.0	538.2728877067566
49	139.72806	164.9541	430.17386	2.5921785e-05	604.6429	4.3282065	2.7092774	21.53194	1.6788912	500000	-2.9802322e-08	42.423466	-0.018841535	2.361062	0.012230604	0.037064195	0.14140001	79.0	550.7651793956757
50	124.237206	207.20929	824.48456	1.6152495e-06	468.875	4.077065	2.0468042	16.974516	1.4309334	510000	4.4703484e-08	61.515186	-0.0212304	-0.77795506	0.016691536	-0.007876229	0.2238	79.0	563.8410217761993
51	137.76074	236.2675	998.0418	2.9075024e-06	476.1905	4.1311116	1.9946301	18.201164	1.2539957	520000	7.4505806e-08	56.37972	-0.036573417	-0.6431041	0.011376582	0.21127397	0.1303	58.0	575.6942341327667
52	140.2914	240.64398	846.40515	4.085705e-07	377.45834	4.3240986	1.8963394	19.521448	1.538238	530000	4.4703484e-08	74.833084	-0.037771016	-3.0556483	0.010368183	0.3270548	0.1031	14.0	586.7004754543304
53	208.88022	224.43399	756.2392	3.289112e-06	656.3077	4.851504	2.1951134	28.54569	1.5228267	540000	0.0	46.824703	-0.007952496	-0.21943283	0.00590703	0.07607068	0.0441	2.0	597.3088555335999
54	216.38553	196.62383	566.394	7.745722e-06	761.5	4.2449503	2.0186684	24.155416	1.5795428	550000	-8.940697e-08	36.357384	0.0022408068	-0.17816782	0.005972087	0.09276298	0.30150002	3.0	608.0020279884338
55	161.00052	255.07791	737.3801	7.523163e-06	500.0	4.0860767	1.4508684	21.851727	1.5819303	560000	2.0861626e-07	54.858536	-0.033129692	-1.5853872	0.005082375	0.09496355	0.38590002	13.0	618.9457819461823
56	158.80275	176.35306	623.73096	1.6381682e-06	447.3125	4.7675943	2.700844	26.878017	1.7892085	570000	5.9604645e-08	63.33934	-0.032669857	-0.20559597	0.0037337558	-0.00462754	0.0807	79.0	631.4934129714966
57	264.0435	312.132	924.8092	1.9080485e-06	761.8	5.1511436	2.6180341	28.39178	2.0005856	580000	0.0	51.956978	-0.02666279	-0.08702421	0.0029226686	-0.008675205	0.026	79.0	644.0045120716095
58	194.24876	256.00757	922.9389	5.633286e-07	444.13635	6.213755	4.039731	29.88579	1.9212537	590000	7.4505806e-08	102.701035	-0.03164731	-0.74454594	0.003150759	-0.033227555	0.228	79.0	656.7509713172913
59	144.26054	199.47357	800.5612	5.8640217e-06	333.33334	6.4417367	4.585136	43.66072	2.0132763	600000	-5.9604645e-08	120.934296	-0.046483174	-2.1316843	0.0024754358	-0.029473636	0.1774	79.0	669.3145327568054
60	251.86224	258.68518	670.9103	2.0967786e-05	582.93335	5.549068	3.0521338	26.581038	1.804897	610000	1.3411045e-07	90.57295	-0.04005526	-1.1667476	0.0038072194	-0.02004572	0.1584	79.0	681.7307932376862
61	353.2088	446.90033	1088.0153	5.54246e-06	758.9091	5.7192802	2.4421432	23.534716	2.404961	620000	-1.4901161e-08	102.470566	-0.009645686	-3.1626692	0.0013406498	-0.053853218	0.08229999	79.0	694.0401659011841
62	207.63934	316.3469	926.98303	1.3459163e-10	435.81818	6.387199	2.6070166	43.90579	2.649767	630000	1.1920929e-07	116.43618	-0.05769147	-1.9800978	0.00064371014	0.08094324	0.1995	24.0	705.3349277973175
63	260.91675	305.43076	1173.9147	3.3466372e-06	476.1905	8.112264	3.6280124	45.18994	2.821291	640000	1.7881393e-07	140.05298	-0.00930354	-1.998146	0.00024298306	0.12927029	0.2802	23.0	716.6009998321533
64	167.01837	242.52426	1000.7894	1.5701048e-11	317.57693	8.733291	4.177416	41.104866	3.0086465	650000	-4.4703484e-08	156.02841	0.0036761314	-2.2550793	0.0002992623	0.12517866	0.16	19.0	727.7612042427063
65	186.6674	318.08185	1005.7792	5.5904495e-12	354.53845	8.966853	4.1504574	41.340374	3.2274165	660000	1.7881393e-07	136.79202	0.0011399835	-2.97336	0.00016044694	0.07938431	0.0004	2.0	738.4265625476837
66	220.9832	251.33807	783.1002	4.015988e-06	409.0	8.027809	2.9789221	33.65371	3.3105476	670000	2.9802322e-08	134.51974	-0.045624033	-2.999834	0.00010791387	0.082885765	0.42119998	11.0	749.5604546070099
67	230.2652	372.901	1500.1007	3.670722e-06	434.78262	8.422044	2.311803	31.968407	3.6846542	680000	-5.9604645e-08	115.13054	-0.0001899004	-2.0077362	3.3231016e-05	0.13819215	0.1788	11.0	760.7945649623871
68	142.55898	198.02095	835.76605	1.1082921e-07	292.12122	10.16368	4.156957	42.106922	4.0601697	690000	1.1920929e-07	122.96875	0.020572126	-8.607946	2.2258848e-05	0.22530986	0.41210002	1.0	771.8251309394836
69	229.51213	362.47806	1275.2168	2.2692466e-06	424.4762	8.1120825	2.2597106	31.79392	3.9415262	700000	4.4703484e-08	127.30231	0.007169053	-3.0735073	1.3011711e-05	0.15156505	0.046499997	1.0	783.1862599849701
70	273.24554	292.88034	891.1618	4.3458218e-14	451.7	10.1283865	3.5042405	58.441425	4.4823203	710000	-1.1920929e-07	169.1579	0.0045777857	-5.749674	3.0622182e-06	0.18671201	0.20289999	1.0	793.8241753578186
71	242.96266	419.62903	1647.5022	1.3090308e-06	400.0	9.904415	2.926376	34.406193	4.8016253	720000	-1.1920929e-07	174.11034	0.0041396767	-3.2848206	2.0391342e-06	0.16824582	0.1755	1.0	804.3000643253326
72	207.47949	334.1926	1200.6632	4.3616437e-06	404.91306	9.839567	3.0885086	45.19293	5.2282605	730000	-7.4505806e-08	118.01897	0.002270013	-6.479601	2.4618e-06	0.10922824	0.1479	1.0	814.7261455059052
73	261.1767	442.1953	1522.6659	1.7020757e-05	434.3158	9.245058	1.5752763	15.857099	5.303099	740000	1.4901161e-07	204.34464	-0.0005977005	-13.645481	5.392475e-07	0.080736145	0.081	1.0	825.2077648639679
74	220.16281	432.9194	1502.1646	1.1466549e-09	426.7143	11.719391	4.019429	48.77481	6.2728257	750000	-8.940697e-08	147.37634	-0.0036083162	-14.336384	2.0468232e-07	0.11354543	0.3014	1.0	835.694543838501
75	292.01984	421.88113	1715.8591	1.8795629e-06	500.0	10.022147	2.060509	20.293139	5.983331	760000	1.6391277e-07	163.8116	-0.000831455	-2.1044044	7.2863025e-07	0.09508039	0.26770002	1.0	846.3980665206909
76	280.22754	451.9759	1630.7548	4.7789385e-08	490.3125	10.639136	1.5497497	26.799154	6.0278454	770000	5.9604645e-08	137.55695	0.0014622957	-0.8727741	5.8318392e-08	0.14731455	0.1477	4.0	856.9053373336792
77	260.01135	368.4768	1356.5286	4.0886753e-06	521.1875	10.465847	1.9836451	23.72711	5.840743	780000	5.9604645e-08	106.71599	0.0013840497	-0.63027763	1.9369916e-06	0.18356857	0.0172	1.0	867.4909698963165
78	385.5008	509.19775	1476.5728	6.360162e-07	588.3077	10.650717	1.4017785	19.484114	5.352631	790000	-5.9604645e-08	145.38092	0.0057283044	-0.64627075	8.838807e-08	0.15992351	0.07969999	1.0	878.390380859375
79	427.91348	591.58563	1578.1646	6.014896e-06	666.6667	11.685416	1.9040173	32.77319	6.401911	800000	0.0	182.13922	0.007645324	-1.629364	2.0724342e-09	0.17834881	0.2438	1.0	889.9572267532349
80	318.90082	488.14468	1815.2721	1.4436875e-05	458.1111	12.039864	2.339216	25.793161	6.0999303	810000	-1.937151e-07	221.66367	0.007204637	-2.9275665	1.7407785e-07	0.08558779	0.0779	1.0	901.1453611850739
81	321.53445	503.78906	1749.7682	3.3370054e-07	496.70587	12.147955	3.0701637	30.207188	7.0928288	820000	-1.0430813e-07	171.60788	0.037297994	-1.3404999	1.18567016e-07	0.31789988	0.776	4.0	912.6088893413544
82	233.17018	283.84933	835.67413	5.9586895e-08	348.77777	11.754574	2.5207028	31.927357	6.4270296	830000	1.1920929e-07	184.54541	0.056421623	-1.0329552	7.551189e-08	0.34523576	0.7778	1.0	924.1831178665161
83	220.297	257.92218	990.3839	9.140461e-06	416.66666	12.1792	1.9481833	25.737288	8.251522	840000	-5.9604645e-08	130.37408	0.06399721	-7.023308	1.0178071e-09	0.4323622	0.9331	1.0	935.3584516048431
84	296.2837	494.1592	1577.7346	7.59585e-06	493.6111	2834.1648	25512.016	519933.7	2.271332	850000	1.8626451e-08	658870400.0	0.014270224	-658870100.0	7.205893e-06	0.19701621	0.1443	1.0	946.5339694023132
85	281.92838	407.8122	1332.8428	1.7886392e-06	529.8	2.6924613	2.1147912	15.740275	-0.6474177	860000	1.4901161e-08	172.381	-0.026906073	-18.147234	0.020569999	-0.047535866	0.12709999	79.0	959.6698184013367
86	275.7781	417.7219	1483.6693	1.5804591e-06	399.8421	4.9971404	2.9261966	20.31348	-0.116589636	870000	8.940697e-08	169.73389	0.0036490113	-30.298597	0.0095239915	0.08751275	0.099300005	5.0	970.8262467384338
87	194.48828	268.71408	754.71124	1.8750034e-05	526.3158	6.7338905	3.2465048	21.121563	0.36004546	880000	0.0	93.85831	-0.014672518	-1.9474535	0.012448853	0.10859322	0.0013000001	1.0	981.8630080223083
88	249.61603	335.71844	1121.9777	3.6344e-08	420.66666	7.2187	3.668051	23.852879	0.78268945	890000	-5.9604645e-08	136.48819	-0.010872483	-15.408768	0.0060475343	0.080745906	0.2935	6.0	992.6440761089325
89	269.63257	428.08987	1532.7725	7.653689e-06	491.05264	12.372176	1.4504409	26.523577	1.5951532	900000	0.0	132.44174	-0.003042385	-3.9163074	1.2769139e-05	0.14159085	0.0129	1.0	1003.331818819046
90	228.75641	346.83188	1229.0967	1.5322094e-06	513.0	9.513388	2.7773526	20.39388	0.6223256	910000	-2.0861626e-07	102.072495	-0.0064258724	-3.3105679	0.0046486957	0.14276624	0.0018	1.0	1014.5144035816193
91	205.1761	255.91199	820.3787	1.556251e-07	476.1905	6.7650123	3.4142091	29.68367	0.6089463	920000	-8.940697e-08	111.50241	0.003623858	-4.7544575	0.015603169	0.09935116	0.0161	2.0	1025.8609223365784
92	455.01965	429.562	1233.6846	6.02567e-08	648.9091	9.33247	3.176058	24.632254	0.61852646	930000	-2.9802322e-08	111.542435	-0.0049143583	-15.149649	0.0054935557	0.07876191	0.0	2.0	1037.3760406970978
93	366.8015	352.6427	1313.5712	0.00052450807	511.88235	13.162558	4.3100276	28.834745	1.6501349	940000	-1.4901161e-08	92.498474	-0.0076351613	-0.80693626	0.0014665839	0.07741429	0.0	1.0	1048.3233933448792
94	347.3729	379.67575	1132.1788	0.00011798733	453.45	13.523707	4.5057144	34.770966	2.4260774	950000	-2.9802322e-08	108.01124	-0.011995345	-8.754119	0.00056220585	0.09984235	0.0	1.0	1059.257731437683
95	295.3525	300.33087	1128.6168	0.0006386705	434.78262	13.35121	5.1330276	48.97668	2.4561062	960000	2.9802322e-08	82.65001	-0.00233306	-3.2784224	0.0012359165	0.13442841	0.57699996	6.0	1070.1666560173035
96	561.85345	499.05136	1345.8716	0.002470039	799.0	14.429719	0.6112025	24.645494	9.27678	970000	8.940697e-08	68.59462	-0.00015422702	-0.1905284	7.010139e-10	0.1116921	0.0	1.0	1081.1125223636627
97	620.78375	692.64276	1425.302	0.0046302797	1018.1429	15.007734	14.844806	144.76155	2.422777	980000	-1.4901161e-07	345.4199	-0.060883496	-290.53293	0.00057298376	-0.28269297	0.9094	79.0	1094.9495813846588
98	428.71832	451.7329	1391.6187	0.002023739	566.8125	14.928495	4.2086945	50.508526	3.4456198	990000	8.940697e-08	111.28146	-0.0025341362	-6.6082077	0.0014768625	0.16441669	0.0327	1.0	1106.324431180954
99	452.8061	460.6622	1877.1354	0.0048470837	476.1905	17.098373	4.2180424	33.52143	8.722619	1000000	-4.4703484e-08	149.20824	-0.0025802404	-4.1970196	0.00027523248	0.20242384	0.1127	1.0	1117.1362845897675
100	413.70093	439.50436	1353.4485	1.53353e-07	477.95	17.090239	6.9158034	87.280975	3.86854	1010000	0.0	135.14642	0.010197528	-17.345432	0.0030089384	0.10128953	0.0277	4.0	1127.7029864788055
101	424.8482	348.94662	1303.7062	0.0040072734	463.125	17.663425	4.4858885	35.821728	3.5364585	1020000	-5.9604645e-08	128.98526	0.035143517	-2.1069527	0.00471486	0.32965034	0.912	1.0	1138.4021196365356
102	443.75455	417.36835	1452.5562	0.0032596374	515.82355	16.766062	4.274456	44.34305	3.4460633	1030000	5.9604645e-08	124.61339	0.03167036	-0.8358364	0.005018643	0.31900102	0.916	1.0	1149.259833574295
103	481.46835	368.19827	1251.9064	0.0036297566	526.3158	17.276613	4.9107566	40.28385	7.3623266	1040000	2.9802322e-08	135.24722	0.029601365	-1.2991266	0.0034911507	0.3028299	0.88820004	1.0	1160.277287721634
104	529.0541	548.69965	1522.1161	0.0004118612	630.13336	15.863675	5.6570473	45.00825	4.731499	1050000	2.9802322e-08	109.35155	0.04586883	-19.22991	0.014296239	0.23126897	0.68130004	5.0	1174.1209235191345
105	357.18808	342.26697	1108.8342	0.0014567171	417.30435	18.215553	5.9847946	48.877842	0.9537024	1060000	-1.0430813e-07	155.96304	0.052611224	-6.8974304	0.01351135	0.43541786	0.7957	1.0	1184.7564392089844
106	393.95038	433.41708	1372.2019	2.790052e-05	484.73685	14.900231	5.962463	51.908436	2.6859176	1070000	0.0	115.12608	0.052967347	-4.0507183	0.019524697	0.3144068	0.74060005	1.0	1195.4856078624725
107	654.66266	662.318	1847.2059	0.0107040405	714.2857	16.630629	6.466566	34.44928	0.5211836	1080000	-4.4703484e-08	123.4012	0.03419601	-5.2511024	0.013952954	0.27965036	0.8311	1.0	1206.2290773391724
108	559.4377	430.45474	1401.9703	0.008046905	738.63635	14.617381	9.913263	36.55523	-3.3344564	1090000	2.9802322e-08	144.02396	0.025711581	-16.135572	0.017896917	0.30887705	0.70930004	1.0	1216.8777136802673
109	536.1578	512.2139	1816.8254	0.009598657	550.64703	15.123494	7.7495055	48.140182	4.1569552	1100000	-8.940697e-08	159.93951	0.030668661	-11.431391	0.008126383	0.28949732	0.6621	1.0	1227.6755201816559
110	405.08905	378.6382	1406.1625	1.4010936e-07	384.36	20.005138	7.9799137	49.762672	0.8772079	1110000	-5.9604645e-08	190.86053	0.037871845	-2.9259205	0.009761368	0.29864872	0.6443	1.0	1238.5584118366241
111	521.60614	597.4497	2172.1643	0.002778649	476.1905	20.319572	5.98767	40.538113	7.5796537	1120000	-1.4901161e-08	192.98154	0.041917138	-4.315672	0.001387908	0.34799814	0.81049997	1.0	1252.847375869751
112	834.17017	640.34595	1870.665	0.0055573103	814.3333	18.588423	6.9549165	58.732227	6.140228	1130000	0.0	181.04471	0.026168488	-7.236183	0.008722885	0.21700421	0.5568	1.0	1266.7953958511353
113	576.7689	625.38586	1819.7871	0.0026677751	561.8571	20.765316	4.1769714	73.492195	9.3731575	1140000	1.4901161e-08	140.04675	0.017161772	-13.96474	0.0008387092	0.27929628	0.9055	1.0	1280.9519279003143
114	829.80994	838.345	2124.5166	8.712217e-08	704.7273	19.824532	5.84881	51.48066	10.200683	1150000	1.0430813e-07	186.7178	0.012015797	-4.4081554	0.00044104742	0.23949502	0.8265	1.0	1295.4091866016388
115	445.9438	417.9782	1759.4736	0.00018144165	400.0	20.755777	7.3271546	54.080795	6.470304	1160000	-5.9604645e-08	199.75078	0.0060681626	-1.8955421	0.0028881417	0.18994203	0.64180005	1.0	1311.3037576675415
116	591.3076	542.9536	1865.7792	0.0022918605	417.05884	23.559235	5.3527074	47.736042	8.946727	1170000	0.0	224.34659	0.00986857	-3.238039	0.0006367625	0.23002613	0.8325	1.0	1327.7781791687012
117	804.2859	809.7256	2215.3328	0.0038385377	640.38464	23.397404	5.2592382	54.214855	6.8861566	1180000	0.0	245.1625	0.0057561696	-4.779949	0.0014677558	0.17652614	0.6584	1.0	1341.4779653549194
118	517.17303	553.8359	2019.0154	1.5907993e-15	355.61905	25.91399	6.303378	87.26992	10.094135	1190000	-8.940697e-08	282.1254	0.0033979863	-10.243725	0.0012044278	0.1098821	0.0	1.0	1356.479374408722
119	512.4487	466.57935	1726.5519	0.004423441	434.78262	23.575687	5.20588	47.48531	1.6383027	1200000	2.9802322e-08	216.74869	-0.0015835613	-9.913696	0.0009852643	0.1323262	0.056	1.0	1371.1283240318298
